person_id,sources
2334,CIE 1974
8593,CIE 1974
7266,CIE 1974
7242,CIE 1974
1165,CIE 1974
1160,CIE 1974
39383,CIE 1974
42675,CIE 1974
39445,CIE 1974
39480,CIE 1974
56692,CIE 1974
55705,CIE 1974
55646,CIE 1974
56628,CIE 1974
24792,CIE 1974
27355,CIE 1974
26344,CIE 1974
22864,CIE 1974
24716,CIE 1974
25766,CIE 1974
4808,CIE 1974
5322,CIE 1974
5302,CIE 1974
47765,CIE 1974
38254,CIE 1974
3585,CIE 1974
52659,CIE 1974
52352,CIE 1974
65572,CIE 1974
21563,CIE 1974
16708,CIE 1974
14965,CIE 1974
26729,CIE 1974
24275,CIE 1974
31203,CIE 1974
18517,CIE 1974
17498,CIE 1974
26874,CIE 1974
23507,CIE 1974
17400,CIE 1974
16249,CIE 1974
16657,CIE 1974
24330,CIE 1974
28289,CIE 1974
27814,CIE 1974
63019,CIE 1974
62404,CIE 1974
66769,CIE 1974
64495,CIE 1974
60460,CIE 1974
60469,CIE 1974
63428,CIE 1974
66898,CIE 1974
64799,CIE 1974
64775,CIE 1974
64504,CIE 1974
63153,CIE 1974
15717,CIE 1974
15873,CIE 1974
19047,CIE 1974
18164,CIE 1974
7720,CIE 1974
60746,CIE 1974
61622,CIE 1974
62230,CIE 1974
60825,CIE 1974
60164,CIE 1974
48897,CIE 1974
54625,CIE 1974
54615,CIE 1974
46651,CIE 1974
39150,CIE 1974
53731,CIE 1974
62804,CIE 1974
68947,CIE 1974
54083,CIE 1974
44835,CIE 1974
35366,CIE 1974
44820,CIE 1974
46193,CIE 1974
35520,CIE 1974
42979,CIE 1974
43058,CIE 1974
42825,CIE 1974
6240,CIE 1974
15240,CIE 1974
43374,CIE 1974
43614,CIE 1974
43626,CIE 1974
54695,CIE 1974
54697,CIE 1974
71136,CIE 1974
71368,CIE 1974
53816,CIE 1974
53860,CIE 1974
53837,CIE 1974
48763,CIE 1974
19978,CIE 1974
67022,CIE 1974
3406,CIE 1974
19843,CIE 1974
41421,CIE 1974
42389,CIE 1974
42426,CIE 1974
41979,CIE 1974
42214,CIE 1974
41677,CIE 1974
40033,CIE 1974
42036,CIE 1974
40001,CIE 1974
42004,CIE 1974
42332,CIE 1974
42197,CIE 1974
52426,CIE 1974
47365,CIE 1974
47348,CIE 1974
18326,CIE 1974
44075,CIE 1974
28021,CIE 1974
50208,CIE 1974
50608,CIE 1974
50617,CIE 1974
368,CIE 1974
57508,CIE 1974
54917,CIE 1974
53960,CIE 1974
57299,CIE 1974
58817,CIE 1974
47767,CIE 1974
69459,CIE 1974
67160,CIE 1974
67853,CIE 1974
55170,CIE 1974
63704,CIE 1974
65845,CIE 1974
60203,CIE 1974
60287,CIE 1974
66414,CIE 1974
65331,CIE 1974
63761,CIE 1974
58515,CIE 1974
33436,CIE 1974
49888,CIE 1974
52467,CIE 1974
21141,CIE 1974
40089,CIE 1974
39686,CIE 1974
29062,CIE 1974
77558,CIE 1974
12940,CIE 1974
12900,CIE 1974
33713,CIE 1974
2392,CIE 1974
64154,CIE 1974
13314,CIE 1974
12597,CIE 1974
12585,CIE 1974
8895,CIE 1974
64013,CIE 1974
48226,CIE 1974
58167,CIE 1974
9906,CIE 1974
53422,CIE 1974
49803,CIE 1974
47457,CIE 1974
51747,CIE 1974
51769,CIE 1974
51870,CIE 1974
51749,CIE 1974
21055,CIE 1974
22041,CIE 1974
32266,CIE 1974
16256,CIE 1974
10705,CIE 1974
10709,CIE 1974
54958,CIE 1974
69748,CIE 1974
45680,CIE 1974
54803,CIE 1974
50360,CIE 1974
56295,CIE 1974
24787,CIE 1974
12851,CIE 1974
62619,CIE 1974
62954,CIE 1974
67840,CIE 1974
65250,CIE 1974
48205,CIE 1974
57925,CIE 1974
4923,CIE 1974
17297,CIE 1974
62431,CIE 1974
69130,CIE 1974
41939,CIE 1974
67222,CIE 1974
88611760,CIE 1947
88602576,CIE 1947
88605155,CIE 1947
88604582,CIE 1947
88604735,CIE 1947
88611352,CIE 1947
88611351,CIE 1947
88601667,CIE 1947
88602453,CIE 1947
88603845,CIE 1947
88603776,CIE 1947
88611283,CIE 1947
88600821,CIE 1947
88602141,CIE 1947
88611182,CIE 1947
88600147,CIE 1947
88611415,CIE 1947
88600437,CIE 1947
88602752,CIE 1947
88604097,CIE 1947
88601525,CIE 1947
88601203,CIE 1947
88603767,CIE 1947
88602758,CIE 1947
88600766,CIE 1947
88600772,CIE 1947
88610971,CIE 1947
88602667,CIE 1947
88611212,CIE 1947
88604928,CIE 1947
88600614,CIE 1947
88605132,CIE 1947
88601473,CIE 1947
88601471,CIE 1947
88600660,CIE 1947
88600716,CIE 1947
88600694,CIE 1947
88600733,CIE 1947
88602150,CIE 1947
88603403,CIE 1947
88610870,CIE 1947
88604079,CIE 1947
88600259,CIE 1947
88603719,CIE 1947
88611873,CIE 1947
88604837,CIE 1947
88603568,CIE 1947
88603566,CIE 1947
88600096,CIE 1947
88603458,CIE 1947
88603310,CIE 1947
88604595,CIE 1947
88604736,CIE 1947
88604205,CIE 1947
88604177,CIE 1947
88601166,CIE 1947
88600038,CIE 1947
88612011,CIE 1947
88612015,CIE 1947
88612016,CIE 1947
88605064,CIE 1947
88601698,CIE 1947
88602688,CIE 1947
88601099,CIE 1947
88601081,CIE 1947
88601044,CIE 1947
88601091,CIE 1947
88601004,CIE 1947
88609852,CIE 1947
88602591,CIE 1947
88601111,CIE 1947
88601106,CIE 1947
88601022,CIE 1947
88601095,CIE 1947
88601930,CIE 1947
88603116,CIE 1947
88605499,CIE 1947
88603506,CIE 1947
88605375,CIE 1947
88605377,CIE 1947
88603548,CIE 1947
88604872,CIE 1947
88604419,CIE 1947
88605482,CIE 1947
88604158,CIE 1947
88604152,CIE 1947
88603921,CIE 1947
88605437,CIE 1947
88604318,CIE 1947
