field,person_id,college_id,graduation_year,degree,degree_id
Civil Engineering 土木,88611354,NA,NA,NA,88628779
Mechanical Engineering 機械,88611339,NA,NA,NA,88628765
Mechanical Engineering 機械,88603807,NA,NA,NA,88621742
Electrical Engineering 電機,88604387,NA,NA,NA,88622282
Chemical Engineering 化工,88611362,NA,NA,NA,88628786
Civil Engineering 土木,88604583,NA,NA,NA,88622453
Chemical Engineering 化工,88611370,NA,NA,NA,88628794
Chemical Engineering 化工,88604964,NA,NA,NA,88622798
Chemical Engineering 化工,88603832,NA,NA,NA,88621764
Chemical Engineering 化工,88603830,NA,NA,NA,88621762
Chemistry,88604685,NA,NA,NA,88622549
Chemical Engineering 化工,88603097,NA,NA,NA,88621067
Hydraulic Engineering,88602771,NA,NA,NA,88620759
Textile Engineering 紡織,88603819,NA,NA,NA,88621752
Chemical Engineering 化工,88601661,NA,NA,NA,88619712
Chemical Engineering 化工,88605270,NA,NA,NA,88623096
Aviation,88600378,NA,NA,NA,88618515
Mechanical Engineering 機械,88600378,NA,NA,NA,88618516
Mechanical Engineering 機械,88611360,NA,NA,NA,88628785
Chemistry,88602361,NA,NA,NA,88620370
Civil Engineering 土木,88602360,NA,NA,NA,88620369
Civil Engineering 土木,88605425,NA,NA,NA,88623236
Mechanical Engineering 機械,88608077,NA,NA,NA,88625724
Mechanical Engineering 機械,88605434,NA,NA,NA,88623244
Chemical Engineering 化工,88611338,NA,NA,NA,88628764
Electrical Engineering 電機,88604379,NA,NA,NA,88622275
Mechanical Engineering 機械,88608214,NA,NA,NA,88625846
Civil Engineering 土木,88605158,NA,NA,NA,88622989
Civil Engineering 土木,88611358,NA,NA,NA,88628782
Civil Engineering 土木,88608100,NA,NA,NA,88625745
Civil Engineering 土木,88611349,NA,NA,NA,88628775
Mechanical Engineering 機械,88604383,NA,NA,NA,88622278
Chemical Engineering 化工,88603836,NA,NA,NA,88621768
Chemistry,88601666,NA,NA,NA,88619718
Civil Engineering 土木,88603834,NA,NA,NA,88621766
Civil Engineering 土木,88603826,NA,NA,NA,88621759
Mechanical Engineering 機械,88603842,NA,NA,NA,88621775
Civil Engineering 土木,88608221,NA,NA,NA,88625853
Chemical Engineering 化工,88602215,NA,NA,NA,88620227
Chemical Engineering 化工,88605324,NA,NA,NA,88623145
Hydraulic Engineering,88611347,NA,NA,NA,88628773
Hydraulic Engineering,88603846,NA,NA,NA,88621779
