person_id,societies,societies_number,societies_date,societies_status
7183,Chinese Institute of Engineers 中華工程師學會,1424,by 1953,Full
7181,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
1165,Chinese Institute of Engineers 中華工程師學會,1262,by 1953,Full
1160,Chinese Institute of Engineers 中華工程師學會,450,by 1953,Full
1075,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
1188,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
7266,Chinese Institute of Engineers 中華工程師學會,522,by 1953,Full
1068,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
42667,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
39445,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
56692,Chinese Institute of Engineers 中華工程師學會,670,by 1953,Full
55714,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
55646,Chinese Institute of Engineers 中華工程師學會,1318,by 1953,Full
56641,Chinese Institute of Engineers 中華工程師學會,435,by 1953,Full
55705,Chinese Institute of Engineers 中華工程師學會,1124,by 1953,NA
55495,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
56628,Chinese Institute of Engineers 中華工程師學會,552,by 1953,Full
56295,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
26408,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
24716,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
26423,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
25766,Chinese Institute of Engineers 中華工程師學會,1099,by 1953,Full
27318,Chinese Institute of Engineers 中華工程師學會,1373,by 1953,Full
24792,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
4858,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
4841,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
15887,Chinese Institute of Engineers 中華工程師學會,1427,by 1953,Full
5302,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
5322,Chinese Institute of Engineers 中華工程師學會,557,by 1953,Full
5398,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
52659,Chinese Institute of Engineers 中華工程師學會,563,by 1953,NA
52352,Chinese Institute of Engineers 中華工程師學會,451,by 1953,Full
61591,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
20715,Chinese Institute of Engineers 中華工程師學會,1589,by 1953,Full
20675,Chinese Institute of Engineers 中華工程師學會,208,by 1953,Full
23117,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
16708,Chinese Institute of Engineers 中華工程師學會,439,by 1953,Full
24330,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
26139,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
23507,Chinese Institute of Engineers 中華工程師學會,1336,by 1953,Full
16657,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
24275,Chinese Institute of Engineers 中華工程師學會,346,by 1953,Full
24086,Chinese Institute of Engineers 中華工程師學會,1441,by 1953,Full
26729,Chinese Institute of Engineers 中華工程師學會,542,by 1953,Full
26925,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
24069,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
18517,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
74511,Chinese Institute of Engineers 中華工程師學會,426,by 1953,Full
31136,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,NA
23105,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
30392,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
17498,Chinese Institute of Engineers 中華工程師學會,199,by 1953,Full
23292,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
28289,Chinese Institute of Engineers 中華工程師學會,1145,by 1953,Full
14965,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
17400,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
19754,Chinese Institute of Engineers 中華工程師學會,1707,by 1953,Full
16238,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,NA
12851,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
31203,Chinese Institute of Engineers 中華工程師學會,582,by 1953,Assistant
63516,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
64321,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
63184,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
