employer_id,employer_name,location_id,parent_id,parent_name
3161,蘇州中元造紙試驗所,1315,NA,NA
3163,K. V. P.,1387,NA,NA
3167,濟南華興造紙廠,1177,NA,NA
3170,永利錏廠,4297,NA,NA
3178,開封兵工廠,717,NA,NA
3180,濟南槍彈廠,1177,NA,NA
3188,浙江青田鉬礦,3189,NA,NA
3208,Pullman Car & Mfg. Corp.,1387,NA,NA
3221,國金山鐵廠,NA,NA,NA
3245,成都工專,607,NA,NA
3247,成都高等師範,607,NA,NA
3249,太倉第四中學,2641,NA,NA
3251,常熟縣立中學,807,NA,NA
3253,孝友中學,807,NA,NA
3260,美國愛列斯卻而毛史機器製造公司,1387,NA,NA
3262,"Anderson, Meyer & Co. 上海慎昌洋行",877,NA,NA
3264,九江永興紗廠電氣,3265,NA,NA
3268,無錫廣勤紡織公司,1664,NA,NA
3278,南京電報局,90,NA,NA
3287,紐約城市政衞生工程公司,146,NA,NA
3289,紐約城克羅建築公司,146,NA,NA
3294,南洋路礦學校,877,NA,NA
3301,安徽橋工局,60,NA,NA
3304,江蘇公路局,71,NA,NA
3308,湖南行營公路處,67,NA,NA
3317,北平自來水公司,410,NA,NA
3340,九江無線電台,3265,NA,NA
3343,廣州無線電台,350,NA,NA
3345,曲江電報局,NA,NA,NA
3353,雲南工業學校,81,NA,NA
3355,第一師範學校,NA,NA,NA
3357,高級中學校,NA,NA,NA
3361,雲南東川礦業公司,3362,NA,NA
3369,江西陶業學校,70,NA,NA
3371,江西陶業試驗所,70,NA,NA
3373,Jiangxi Reconstruction Bureau 江西建設廳,70,NA,NA
3375,江西陶業管理局,31565,NA,NA
3384,山東濟南工業試驗所,1177,NA,NA
3386,山東工專,77,NA,NA
3389,山東工業試驗所,77,NA,NA
3391,汕頭市政府,2383,NA,NA
3393,廣東工業專校,74,NA,NA
3395,廣東第一中學校,74,NA,NA
3397,廣東鹽務總處,74,NA,NA
3400,廣東寧水土布公司,74,NA,NA
3417,中央杭州電機製造廠,999,NA,NA
3427,江西公路,70,NA,NA
3440,Hanyang Arsenal 漢陽兵工廠,1120,NA,NA
3442,上海益中機器廠,877,NA,NA
3444,長沙湖南黑鋁煉廠,590,NA,NA
3446,華陰兵工廠,3447,NA,NA
3455,英國費克斯飛機製造廠,NA,NA,NA
3457,北京航空署,410,NA,NA
3459,山東航空教練所,77,NA,NA
3461,山東航空處,77,NA,NA
3463,東北航空處,NA,NA,NA
3465,洛陽航空,2183,NA,NA
3481,美國紐約薩洛球司城道路工程局,146,NA,NA
3510,湖北武英公路,NA,NA,NA
3512,湖北省道漢鄂襄養路,68,NA,NA
3514,湖北救災備荒委員會,68,NA,NA
3518,Shanxi Polytechnical College 山西工業專校,743,NA,NA
3522,湖南兵工廠,68,NA,NA
3543,Shanghai Public Works Department 上海市工務局,877,NA,NA
3551,G. E. C.,3552,NA,NA
3556,上海中華聯合工程會計事務所,877,NA,NA
3557,安徽皖西各路,60,NA,NA
3559,宜昌電廠,3560,NA,NA
3566,蕪南電廠,NA,NA,NA
3572,遼寧省政府,64,NA,NA
3579,教育部東北靑年教育救濟處,NA,NA,NA
3583,大沽造船廠,427,NA,NA
3595,Pennsylvania Railroad,135,NA,NA
3598,山東天源煤礦公司,77,NA,NA
3600,遼寧禮和洋行華,64,NA,NA
3602,天津安利洋行,427,NA,NA
3604,捷隆洋行汽車部,NA,NA,NA
