college_id,college_name,location_id
59433,日本大阪帝國大學,551
59716,Michigan S. Auto. S.,35382
60331,法國礦務大學,159
60763,柏林水泥研究所,432
60954,江蘇鐵路學堂,90
61033,同德大學,NA
61630,中央研究院鋼鐵研究所研究,NA
62430,南京高等師範工專,90
62579,北平大學電波研究所,410
62818,德 Junkers 飛機製造廠,121
63049,Bruxelles U.,3060
63086,日本東京東亞學校,604
63406,江西省立工專,70
63409,Vienna University,63411
64000,Cleveland U.,33834
64221,湖南高等鐵路學校,67
64398,直隸公立工專,63
64597,浙江甲種工業學校,62
64983,意國皇家都林大學,6318
65242,Academia Sinica 中央研究院,NA
65314,武昌大學,1036
65470,軍委會無線電工程師養成所,NA
65472,美國國家標準線局無線電研究所,1387
66031,Calif. P. C.,130
66531,南洋路礦學校,877
66717,德國柏林電信研究院,432
67274,郵傳部上海高等實業學堂,877
67671,山西工業專門學校,76
67776,Enfield Lock 槍砲學堂,3067
68162,專科以上學校,NA
68164,全國經委會公路處工程師訓練班,NA
68231,實業部全國度量衡檢定人員養成所,NA
68249,河南省立水利工專,66
68288,日本鐵道省鐵道專門部,258
68447,University of Southampton,68448
68871,比國威干東高等機械專校,2753
68902,Utah U.,68904
69519,江蘇省立工業專校,71
69535,江蘇省立高工,71
69606,寧波工專,1736
70078,Beijing University 北京大學,410
71424,北京陸軍測繪學堂,410
71458,日本廣島高工,2106
71678,北京師範大學,410
71729,蘇俄莫斯科陸軍大學,22253
72048,北京工業學校,410
72121,Whitworth C.,1387
72546,巴黎工程大學,1948
72549,北洋機器局圖算學堂,NA
72557,比國崗省大學,2753
72561,法國京都工程專門學校,159
72569,比利時京城大學,2753
72573,福州鶴齡大學,419
72581,巴黎橋路大學,1948
72584,北洋武備大學校,NA
72603,美國函授學校,1387
72609,唐山路鑛學校,445
72621,庚卜立大學,125
72633,黃埔水陸師學堂,5031
72639,本薛佛大學,1387
72645,巴黎專門工程學校,1948
72650,青島大學校,2331
72675,俄京鐵路大學,NA
72689,香港皇仁書院,1072
72812,University of British Columbia (UBC),72813
72844,蘆漢鐵路學堂,427
72873,福州馬江船政學堂,419
72922,英國達蘭大學,125
72943,美國烏哈合大學,1387
72967,萬國函授學校,1387
73013,北海海軍學校,NA
73127,英國普球大學,125
73132,蘇州府中學堂,1315
73139,京漢鐵路學堂,NA
73145,津甫高等工業專門學校,NA
73162,南洋中學,877
73169,山東鐵路學堂,77
73177,廣東工業學校,350
73190,瑞士鹿山省國立大學,2240
73199,三省商辦鐵路學校,NA
73203,福建高等學校,61
73207,江蘇高等學校,71
73212,萍鄉礦務學校,388
73223,香港實業學校,1072
73318,四川鐵道學校,1434
73324,江蘇工業專門學校,71
73358,廣東中學,350
73376,漢口博學書院,2380
73448,土虞算學專修學校,NA
73454,日本東京路鑛學校,604
73457,湖南武備學堂,67
73460,青島特別高等專門學校,2331
73464,日本路鑛學校,258
73482,明誠專門學校,NA
73545,徐家匯公學,877
73548,巴黎建築專門學校,1948
73559,全國水利河海工程學校,66
73587,樾閣公學,21499
73613,杭州養正學堂,999
73617,天津新建陸軍隨營學校,427
73635,湖北鐵路學校,68
73642,赤城測繪學堂,NA
